NPD_ID;Noise Metric;Op Mode;Power Setting;L_200ft;L_400ft;L_630ft;L_1000ft;L_2000ft;L_4000ft;L_6300ft;L_10000ft;L_16000ft;L_25000ft
2JT8DN;EPNL;D;8000;104.6;100.7;97.7;94.4;88.9;82.8;78.5;73.7;68.6;63.5
2JT8DN;EPNL;D;10000;108.4;104.5;101.6;98.4;93;86.9;82.5;77.8;72.7;67.6
2JT8DN;EPNL;D;12000;111.3;107.7;104.9;101.8;96.6;90.7;86.5;81.9;76.9;71.9
2JT8DN;EPNL;D;14000;114.5;110.9;108.2;105.1;99.9;94;89.8;85.3;80.3;75.3
2JT8DN;EPNL;D;16000;117.4;113.7;111;107.9;102.7;96.9;92.7;88.1;83.2;78.2
2JT8DN;LAmax;A;3000;90.6;84.2;79.7;74.9;67.3;59.2;53.6;47.7;41.5;35.4
2JT8DN;LAmax;A;5000;95.8;89.3;84.8;80;72.4;64.3;58.8;52.9;46.6;40.5
2JT8DN;LAmax;D;6000;96.8;90.8;86.5;81.8;74.1;65.8;59.9;53.7;47;40.4
2JT8DN;LAmax;D;8000;101.2;95.2;90.9;86.1;78.5;70.2;64.4;58.2;51.6;45
2JT8DN;LAmax;D;10000;105.1;99.1;94.7;90;82.3;73.8;67.9;61.6;54.8;48
2JT8DN;LAmax;D;12000;108.5;102.5;98.1;93.3;85.5;77;71;64.6;57.8;51
2JT8DN;LAmax;D;14000;111.4;105.4;101;96.3;88.5;80.1;74.1;67.8;60.9;54.2
2JT8DN;LAmax;D;16000;113.8;107.8;103.4;98.7;90.9;82.5;76.5;70.1;63.3;56.6
2JT8DN;PNLTM;A;3000;105.8;98.1;92.7;86.9;77.7;67.7;60.9;53.6;46;38.4
2JT8DN;PNLTM;A;5000;110.4;102.5;97.1;91.3;82.2;72.5;65.9;58.9;51.6;44.4
2JT8DN;PNLTM;D;6000;109.3;102.7;98;92.9;84.7;75.7;69.5;62.8;55.7;48.7
2JT8DN;PNLTM;D;8000;113.4;107;102.4;97.4;89.2;80.4;74.2;67.6;60.5;53.5
2JT8DN;PNLTM;D;10000;117.2;110.7;106.1;101;92.8;84;77.8;71.1;64.1;57
2JT8DN;PNLTM;D;12000;120.9;114.2;109.5;104.4;96.2;87.4;81.2;74.7;67.8;60.9
2JT8DN;PNLTM;D;14000;123.5;116.9;112.2;107.2;99.1;90.4;84.3;77.9;71;64.3
2JT8DN;PNLTM;D;16000;125.8;119.2;114.5;109.5;101.4;92.7;86.7;80.2;73.4;66.6
2JT8DN;SEL;A;3000;94;90.4;87.5;84.2;78.4;71.7;66.7;61.3;55.3;49.3
2JT8DN;SEL;A;5000;98.5;94.9;92.1;88.8;83;76.3;71.4;66;60;53.9
2JT8DN;SEL;D;6000;98.6;94.8;92;88.8;83.4;77.4;73;68.3;63.1;57.9
2JT8DN;SEL;D;8000;102.7;99;96.1;92.9;87.6;81.5;77.2;72.5;67.4;62.3
2JT8DN;SEL;D;10000;106.6;102.9;100;96.8;91.3;85.1;80.7;75.9;70.6;65.3
2JT8DN;SEL;D;12000;110.2;106.4;103.5;100.2;94.7;88.4;83.9;79;73.7;68.3
2JT8DN;SEL;D;14000;113.1;109.5;106.7;103.5;98;91.8;87.3;82.4;77;71.6
2JT8DN;SEL;D;16000;115.9;112.3;109.5;106.3;100.8;94.6;90.1;85.2;79.8;74.4
2JT8DQ;EPNL;A;3000;98.6;94.4;91.1;87.4;81.4;74.4;69.1;63;55.5;46.8
2JT8DQ;EPNL;A;6000;104.4;100.2;96.9;93.2;87.2;80.2;74.9;68.8;61.3;52.6
2JT8DQ;EPNL;D;8000;108.7;104.5;101.3;97.7;91.8;85.1;80;74.3;67.3;59.1
2JT8DQ;EPNL;D;10000;113.2;109.2;106;102.5;96.6;90.2;85.5;80.1;73.6;66
2JT8DQ;EPNL;D;12000;117.8;113.8;110.7;107.3;101.7;95.4;91;86;80;73
2JT8DQ;EPNL;D;14000;122.8;118.9;115.9;112.6;107.2;101.1;97;92.4;87;80.6
